經度,緯度,屋齡,面積,建物類型,用途,樓別/樓高,佈局,電梯,管理員,車位數量,價格,行政區,交易年份
120.74612326271138,24.263581535665008,,32.08,住宅大樓(11層含以上有電梯),住家用,二層/十二層,3房2廳2衛,有,有,1,"9,100,000",豐原區,113
120.71846784646226,24.25448560497062,16,36.73,住宅大樓(11層含以上有電梯),住家用,七層/十二層,2房2廳1衛,有,有,1,"9,900,000",豐原區,113
120.70919313248538,24.24048190892204,4,45.52,住宅大樓(11層含以上有電梯),住家用,十層/十二層,3房2廳2衛,有,有,1,"15,500,000",豐原區,113
120.74648681199646,24.264015543909142,4,40.68,住宅大樓(11層含以上有電梯),住家用,七層/十二層,3房2廳2衛,有,有,1,"12,350,000",豐原區,113
120.71537716033514,24.240466512974553,33,31.79,華廈(10層含以下有電梯),住家用,七層/七層,2房2廳2衛,有,有,1,"7,150,000",豐原區,113
120.72962624367804,24.25430719550664,1,122.68,住宅大樓(11層含以上有電梯),住商用,"一層,二層,三層,四層,地下一層,見其他登記事項/十五層",3房3廳4衛,有,有,2,"33,600,000",豐原區,113
120.70529041388062,24.237621173445525,12,80.06,透天厝,住家用,全/四層,4房3廳3衛,有,無,0,"31,000,000",豐原區,113
120.7231415424419,24.256426422941153,61,17.62,透天厝,住家用,全/二層,2房2廳2衛,無,無,0,"7,325,000",豐原區,113
120.7171494905902,24.25389625249784,46,50.23,透天厝,住商用,全/三層,5房3廳3衛,無,無,0,"14,600,000",豐原區,113
120.74554153158059,24.258957606169695,3,48.12,透天厝,住家用,全/二層,4房3廳6衛,無,有,0,"16,000,000",豐原區,113
120.71744082320394,24.237924110016774,46,59.28,透天厝,住商用,全/二層,7房3廳4衛,無,無,0,"10,700,000",豐原區,113
120.70170031878807,24.248566602776947,31,29.58,住宅大樓(11層含以上有電梯),住家用,四層/十六層,3房2廳2衛,有,有,0,"7,100,000",豐原區,113
120.72300287100043,24.238602501100246,48,36.81,透天厝,住家用,全/二層,3房4廳3衛,無,無,0,"9,450,000",豐原區,113
120.7137404008691,24.23261705058662,29,37.97,透天厝,其他,全/三層,4房2廳3衛,無,無,0,"11,111,111",豐原區,113
120.71377976659251,24.23262615348422,29,38.45,透天厝,其他,全/三層,4房2廳3衛,無,無,0,"11,111,111",豐原區,113
120.7174039200873,24.245716262502064,,17.89,華廈(10層含以下有電梯),住家用,四層/五層,1房1廳1衛,有,有,0,"5,880,000",豐原區,113
120.7174039200873,24.245716262502064,,17.89,華廈(10層含以下有電梯),住家用,五層/五層,1房1廳1衛,有,有,0,"5,880,000",豐原區,113
120.7174039200873,24.245716262502064,,17.89,華廈(10層含以下有電梯),住家用,二層/五層,1房1廳1衛,有,有,0,"5,880,000",豐原區,113
120.7174039200873,24.245716262502064,,17.93,華廈(10層含以下有電梯),住家用,三層/五層,1房1廳1衛,有,有,0,"5,880,000",豐原區,113
120.7174039200873,24.245716262502064,,17.89,華廈(10層含以下有電梯),住家用,三層/五層,1房1廳1衛,有,有,0,"5,880,000",豐原區,113
120.72449614677747,24.240212412232708,35,47.88,透天厝,住家用,全/二層,5房3廳3衛,無,無,0,"18,750,000",豐原區,113
120.71148839791864,24.240088991903296,53,49.79,透天厝,住家用,全/二層,3房5廳3衛,無,無,0,"19,500,000",豐原區,113
120.72441782431281,24.24457338485385,22,26.83,住宅大樓(11層含以上有電梯),住家用,三層/十四層,3房2廳2衛,有,有,0,"7,300,000",豐原區,113
120.70705422281208,24.25429249081465,35,26.72,公寓(5樓含以下無電梯),住商用,"一層,二層/五層",3房2廳2衛,無,無,0,"6,000,000",豐原區,113
